"subjectnumber" "activitycode" "activityname" "tbodyaccstdx" "tbodyaccstdy" "tbodyaccstdz" "tgravityaccstdx" "tgravityaccstdy" "tgravityaccstdz" "tbodyaccjerkstdx" "tbodyaccjerkstdy" "tbodyaccjerkstdz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "tbodyaccmagstd" "tgravityaccmagstd" "tbodyaccjerkmagstd" "tbodygyromagstd" "tbodygyrojerkmagstd" "fbodyaccstdx" "fbodyaccstdy" "fbodyaccstdz" "fbodyaccjerkstdx" "fbodyaccjerkstdy" "fbodyaccjerkstdz" "fbodygyrostdx" "fbodygyrostdy" "fbodygyrostdz" "fbodyaccmagstd" "fbodybodyaccjerkmagstd" "fbodybodygyromagstd" "fbodybodygyrojerkmagstd"
19 4 "SITTING" -0.574658922919194 -0.507035084992639 -0.649184726556944 -0.958290447861111 -0.95925383425 -0.94180028475 -0.571088266146083 -0.571311190432222 -0.705342976190833 -0.637789914575556 -0.643866300560306 -0.645682212189167 -0.618836206634444 -0.725991380623889 -0.686684583831583 -0.599552767486306 -0.599552767486306 -0.601918552871944 -0.610093380740278 -0.7255986988425 -0.5708979748225 -0.530901585022361 -0.680291382637222 -0.586910128980833 -0.572596722878 -0.728521901498861 -0.666071315599889 -0.650105402347778 -0.694729075491667 -0.689860920113889 -0.641089005857778 -0.662325968145833 -0.754223739441667
21 4 "SITTING" -0.672323867377451 -0.565585190336299 -0.669621813176471 -0.965586634460784 -0.969330818455882 -0.953093993308823 -0.699763344205784 -0.66515912310562 -0.78182390148299 -0.79617228689951 -0.765057760637255 -0.701642028499559 -0.792483156720588 -0.815859336004902 -0.812017312181373 -0.6601960145 -0.6601960145 -0.680069218953922 -0.761303119652451 -0.82408989995098 -0.665349663426471 -0.578748586831863 -0.675588192778676 -0.709800728388235 -0.674102360655147 -0.794922813673627 -0.811026710110294 -0.771388318823529 -0.728319304730637 -0.714345739215931 -0.683725127418382 -0.793158526279412 -0.834949863259804
22 4 "SITTING" -0.631563159137374 -0.593370593093586 -0.719165341207576 -0.970886422525252 -0.964866300237374 -0.945237536671717 -0.66465053739798 -0.649008826582323 -0.811609738686869 -0.743170551461616 -0.836307422323232 -0.720618809515152 -0.760885591313131 -0.898549452979798 -0.790942774393939 -0.674728311182828 -0.674728311182828 -0.671919866238182 -0.732423163577273 -0.862669919242424 -0.617357217010101 -0.613102962343434 -0.724294244810606 -0.678917860634848 -0.663075714679899 -0.826747967929293 -0.758195876909091 -0.83351028510101 -0.749282657878788 -0.736639079823232 -0.680648314314646 -0.748109782232323 -0.870345470454545
18 5 "STANDING" -0.667932305209581 -0.599095553763473 -0.679216670329341 -0.978742766586826 -0.968999955598802 -0.958147490299401 -0.711725557065868 -0.711788469131737 -0.834520665329341 -0.791426443721557 -0.759370761556886 -0.72614680991018 -0.830920002934132 -0.874371824640719 -0.825666964760479 -0.665011683643713 -0.665011683643713 -0.723788786335329 -0.760315278287425 -0.879781879790419 -0.660489537904192 -0.605510423961078 -0.672541676278443 -0.720203372035928 -0.718398453652695 -0.848506493113772 -0.799760555973054 -0.74032145739521 -0.748592744401198 -0.713137798532934 -0.729163423712575 -0.775670438287425 -0.894709025422156
20 5 "STANDING" -0.650788909160606 -0.456259753985354 -0.630893001863636 -0.958324946717172 -0.953576080606061 -0.93887359689899 -0.659309592116667 -0.606793100151515 -0.75401945230303 -0.70994810379798 -0.642839666627273 -0.579620527478788 -0.733941115257576 -0.716353299126263 -0.715358641818182 -0.614326377454545 -0.614326377454545 -0.626302305960101 -0.626155662129697 -0.707476828521212 -0.654036248306667 -0.466298670467677 -0.644857545959596 -0.674575997207071 -0.609033040979596 -0.772151009146465 -0.726226342060606 -0.646762421016667 -0.616340393406566 -0.683038764726768 -0.635841381332323 -0.673230720494949 -0.713768868169192
22 5 "STANDING" -0.408498997088862 -0.326700060089431 -0.551943490507317 -0.938572531056911 -0.945180370293496 -0.929170545691057 -0.456687476 -0.417944389701626 -0.678143433821138 -0.619856056592683 -0.699934248861789 -0.547955275764228 -0.625212511333333 -0.797747537235772 -0.663925946674797 -0.469146190154634 -0.469146190154634 -0.457667435430488 -0.58616042178374 -0.768258152845528 -0.386658942001626 -0.358594356956098 -0.57089997098374 -0.479376250713415 -0.436851876529854 -0.705406665853659 -0.645407507130081 -0.699201260894309 -0.596342575910569 -0.572895500055285 -0.468314812693496 -0.621511307308943 -0.779661007398374
23 5 "STANDING" -0.622594039757258 -0.532078546615699 -0.450557203409946 -0.964393040295699 -0.960318907096774 -0.934236146612903 -0.608183751830914 -0.61898123051828 -0.603048769571532 -0.755738625241935 -0.500338191139785 -0.609683451821774 -0.728692138333333 -0.546043593651882 -0.740518145887097 -0.56557562579215 -0.56557562579215 -0.55872531418629 -0.541949073660753 -0.573942888021613 -0.633839114436559 -0.554471679592177 -0.474767543716048 -0.635054351475538 -0.636977610060753 -0.627540367652688 -0.779197054064516 -0.50785054741371 -0.644131036807258 -0.657048917971505 -0.583832309145968 -0.632288527203763 -0.593735302105376
25 5 "STANDING" -0.716264537547677 -0.531421035602689 -0.64709556105868 -0.950017091344743 -0.901088770963325 -0.880682330706602 -0.79682335007335 -0.722502919364303 -0.860669382640587 -0.683131970775061 -0.752261013276284 -0.74741022 -0.768682473178484 -0.902628080757946 -0.831848667286064 -0.659015505611247 -0.659015505611247 -0.780451867848411 -0.68515279467066 -0.872776184449878 -0.705223686579951 -0.529064652290954 -0.630224637674572 -0.807712525721271 -0.721707668572127 -0.870541516210269 -0.690398481943765 -0.723584437530562 -0.771208929095355 -0.695367928718826 -0.783547229755501 -0.697213120366748 -0.877714953691932
26 5 "STANDING" -0.623101031168367 -0.585967142418112 -0.70498062744898 -0.96781789994898 -0.959713562227041 -0.955643363545918 -0.682815652993112 -0.678386582086227 -0.778349460841837 -0.766673970339286 -0.800675471045918 -0.703347205619898 -0.732321370690816 -0.836112175331633 -0.773101524821429 -0.620355788665816 -0.620355788665816 -0.677426336392347 -0.751833690215051 -0.818279112908163 -0.61349959767602 -0.600274809826275 -0.718490475765306 -0.694314518927551 -0.6803580612 -0.78604912494898 -0.78740310059949 -0.803635337372449 -0.735942384438775 -0.673917799546684 -0.678025758312755 -0.782624320831633 -0.823991408418367
27 5 "STANDING" -0.990276643846154 -0.972196177948718 -0.969969877692308 -0.985853734871795 -0.982492101538462 -0.969254340641026 -0.991831534358974 -0.985056905 -0.990225417948718 -0.987584196794872 -0.983939928846154 -0.977847181794872 -0.992694551282051 -0.993396012564103 -0.992933121025641 -0.973689910897436 -0.973689910897436 -0.990626418974359 -0.973304104615385 -0.993732153205128 -0.990398788205128 -0.971690637564103 -0.967165568461538 -0.992649861923077 -0.986093858717949 -0.990493986666667 -0.988087790769231 -0.982843103974359 -0.979428019102564 -0.974775499230769 -0.990060928461538 -0.97322665025641 -0.993907993589744
1 1 "WALKING" -0.545795331328326 -0.367716218227378 -0.502645746562824 -0.959859435936599 -0.951150627458213 -0.925817590867435 -0.524721922818732 -0.470412403511239 -0.717322274881844 -0.686555715201729 -0.450979810499568 -0.597496136795101 -0.637812687210375 -0.634472244550432 -0.664591977786455 -0.497096402038329 -0.497096402038329 -0.515922167555159 -0.499839593745821 -0.652050770910663 -0.553060616663401 -0.390150939647061 -0.498583091676081 -0.543979776127867 -0.466251676533372 -0.737861932680115 -0.708263420861671 -0.429825832648703 -0.650476162132565 -0.589710231217867 -0.541823079570029 -0.566576670397695 -0.685811262634006
2 1 "WALKING" -0.605586497159271 -0.428962986589404 -0.589360062210596 -0.963015508245033 -0.960033560165563 -0.945365383907285 -0.557809603123841 -0.491875889831788 -0.741885388311258 -0.710648927815894 -0.722943674337748 -0.634888927843046 -0.671679103311258 -0.783595466728477 -0.674611933293046 -0.552812545643709 -0.552812545643709 -0.512115278415232 -0.680584887880795 -0.740088733655629 -0.619788102803311 -0.464723862913245 -0.600678614835099 -0.595105612895033 -0.509147543673841 -0.767087015496689 -0.734588540182119 -0.72716774102649 -0.683114494539735 -0.646662308457285 -0.518800797709272 -0.725310337688742 -0.744194981440397
3 1 "WALKING" -0.623413602046921 -0.480015920697654 -0.653625579293255 -0.966457565630499 -0.9445645371261 -0.926966278211144 -0.635484688041056 -0.55721186773783 -0.796066240234604 -0.699262195705865 -0.76302218170088 -0.709483440322581 -0.689328428607038 -0.842659862111437 -0.743028500565982 -0.591224780306452 -0.591224780306452 -0.607658214170381 -0.674010290979472 -0.80366136372434 -0.623805015199413 -0.502753639795894 -0.657443765803519 -0.657844055881525 -0.559851186088408 -0.81080601659824 -0.719276622702346 -0.758505287214076 -0.751008875659824 -0.663079838985044 -0.615643694857361 -0.703839403007038 -0.810032718739003
4 1 "WALKING" -0.68386446609433 -0.589609330539691 -0.741959040257732 -0.967576704329897 -0.94170652321134 -0.936724233273196 -0.701066737438144 -0.670976701376289 -0.859502524793814 -0.750915960835052 -0.828888294742268 -0.745904225824742 -0.778479585721649 -0.911436316752577 -0.790578254329897 -0.670122122716495 -0.670122122716495 -0.71024608685567 -0.749105473365979 -0.870579517938144 -0.679316495457474 -0.60587907902268 -0.739920171907216 -0.710952957814433 -0.679116699128866 -0.872348615876289 -0.765931837365979 -0.818105282886598 -0.778863649278351 -0.724979750463917 -0.723261097164948 -0.769330760360825 -0.884187806804124
5 1 "WALKING" -0.507691011391722 -0.402724906078146 -0.646443640175497 -0.964629108807947 -0.939973777950331 -0.94207867884106 -0.575890535679801 -0.506544358609603 -0.78456199486755 -0.709955676983444 -0.705638306688742 -0.606589817380795 -0.662581310334437 -0.774114270364238 -0.564680771249007 -0.52162345171192 -0.52162345171192 -0.589031268133113 -0.664078383532781 -0.734187493344371 -0.492829885748675 -0.422162171100331 -0.649351210748344 -0.584013626983444 -0.491500434303907 -0.798835563807947 -0.73573857718543 -0.702290390960265 -0.669353687483444 -0.594259529756954 -0.613485123609272 -0.715731148145695 -0.735610602483444
6 1 "WALKING" -0.647669170333475 -0.553142396078856 -0.789845077542373 -0.95651898940678 -0.952613166822034 -0.940646609533898 -0.667198721502542 -0.627357097410593 -0.871721440720339 -0.767068673052966 -0.761438068516949 -0.723490206153814 -0.739023005 -0.82004406309322 -0.70638507157161 -0.626787109835169 -0.626787109835169 -0.659452354576271 -0.722636443516102 -0.79820274690678 -0.649772161629703 -0.568609162121059 -0.793153623220339 -0.686677797992797 -0.616329704501695 -0.882511909533898 -0.786180311132627 -0.76410811809322 -0.770467456313559 -0.682816079716102 -0.669980860496186 -0.760907236300847 -0.807005713601695
10 3 "WALKING_DOWNSTAIRS" -0.425216183982906 -0.386704550776068 -0.523113372540812 -0.964245853333333 -0.95273087965812 -0.929729024405983 -0.414395232038462 -0.431961308787137 -0.690604755970085 -0.597873796746581 -0.492482432210256 -0.505981516216239 -0.632669178589744 -0.713441119059829 -0.611026435705128 -0.44358190387041 -0.44358190387041 -0.416276937898718 -0.541830959732991 -0.714863988119658 -0.429098457335897 -0.430554427691538 -0.537241875010256 -0.444119132470983 -0.451626571504701 -0.726013573974359 -0.621040868816239 -0.460535897286325 -0.565036981154701 -0.552739646816667 -0.446280697635769 -0.593770651726496 -0.737951108418803
12 3 "WALKING_DOWNSTAIRS" -0.638208440290323 -0.608983265026882 -0.682615496811828 -0.96330852155914 -0.959772033870968 -0.93954763188172 -0.650790264784946 -0.664699691132473 -0.777908761827957 -0.764316840252151 -0.774444433548387 -0.650750149365591 -0.772069692150538 -0.829185586182796 -0.775458577365591 -0.621456341182258 -0.621456341182258 -0.636898344297849 -0.715896647204301 -0.817815795430108 -0.639348459586021 -0.63100314140914 -0.696665096612903 -0.67299670577957 -0.674141468072581 -0.796308612258064 -0.781057375053763 -0.779444961236559 -0.679272873655914 -0.682955169813979 -0.636955052134409 -0.742461579639785 -0.829129754193548
14 3 "WALKING_DOWNSTAIRS" -0.493875900753279 -0.190356784144426 -0.0829789883191393 -0.933986522704918 -0.934878446827869 -0.903959498688525 -0.530799952657623 -0.459397679983197 -0.552000017954836 -0.649305014086066 -0.216650778374795 -0.16936650962377 -0.723150613606557 -0.60583333504918 -0.525451416913115 -0.321676687545492 -0.321676687545492 -0.483221887802828 -0.317377464295082 -0.645034678692623 -0.491090578268648 -0.194161740892213 -0.0598352898007787 -0.556172286909426 -0.479636522397131 -0.601003772988115 -0.66393820870082 -0.15091173901873 -0.225729073181148 -0.419458109257787 -0.501922233672951 -0.377012934062787 -0.689381172221311
15 3 "WALKING_DOWNSTAIRS" -0.556541173089329 -0.481679537956006 -0.705706623868902 -0.968733398628049 -0.956369493993902 -0.947240058048781 -0.624055782158537 -0.594312678045091 -0.825820881576219 -0.696859473045732 -0.708779069191463 -0.721826987530488 -0.731382711036585 -0.853956592073171 -0.795626198384146 -0.557147874176037 -0.557147874176037 -0.625660376546646 -0.675336960047866 -0.837120078079268 -0.547150855443902 -0.501568435233384 -0.711431340356707 -0.637655155092835 -0.605854882622652 -0.845111060762195 -0.709336168176829 -0.684504735744512 -0.751696527195122 -0.623655618198171 -0.643101167069512 -0.695346839682927 -0.849634463841463
16 3 "WALKING_DOWNSTAIRS" -0.668161498298634 -0.649947067892896 -0.603819902386066 -0.971156432131148 -0.964727519945355 -0.945294028639344 -0.72786174352459 -0.735080198043716 -0.767873049380055 -0.799534450491803 -0.810124133715847 -0.737629967961749 -0.858298719153005 -0.86957312057377 -0.837039926065574 -0.661719690491803 -0.661719690491803 -0.719647028238525 -0.78482286579235 -0.87480016568306 -0.656969045058415 -0.661844530506831 -0.605646725307104 -0.73477673661306 -0.738434398105465 -0.782089515344262 -0.804991831502732 -0.809421448142077 -0.756993640724044 -0.712680990765301 -0.729869398769672 -0.802078223409836 -0.886533212213115
17 3 "WALKING_DOWNSTAIRS" -0.992370654583333 -0.965205728333333 -0.976352307916667 -0.986674910208333 -0.970555891666667 -0.973160545416667 -0.993627979375 -0.987195772291667 -0.991061698958333 -0.985719333333333 -0.985762623125 -0.985666489166667 -0.992357467708333 -0.993025651041667 -0.993543291041667 -0.97465493875 -0.97465493875 -0.991481431666667 -0.980494326458333 -0.99273415625 -0.992433994583333 -0.962714830416667 -0.974056181875 -0.994178642291667 -0.988578176875 -0.991258490416667 -0.986027005208333 -0.984919989375 -0.986650575625 -0.974433710625 -0.990655515625 -0.98029209625 -0.992490134583333
4 2 "WALKING_UPSTAIRS" -0.481157815330894 -0.384255322007236 -0.658285719430894 -0.954845868211382 -0.940959838617886 -0.948783616341463 -0.522686832030976 -0.446980128646341 -0.817881987560976 -0.623295736308943 -0.749889456666667 -0.695570737073171 -0.637528066829268 -0.888412003333333 -0.681795418349593 -0.50629736504065 -0.50629736504065 -0.547890232756098 -0.639915777398374 -0.802559941951219 -0.468588371045528 -0.422334649479756 -0.659623483821138 -0.540002452644715 -0.459377588636585 -0.841927060081301 -0.652062731170732 -0.727336206422764 -0.748519078617886 -0.590882542479675 -0.576991683357724 -0.674631635121951 -0.829831474634146
6 2 "WALKING_UPSTAIRS" -0.127000600558652 0.121465311011236 -0.361381608884045 -0.965208976741573 -0.946484614719101 -0.930654188651685 -0.171553961355056 0.00409088203382023 -0.386900926617978 -0.35344952441573 -0.267781342044944 -0.272215022761798 -0.0342001184382022 -0.300014548011236 -0.0509923894251685 -0.104608866786517 -0.104608866786517 -0.0879004446179775 -0.201180788774157 -0.23683550005236 -0.127245614919101 0.0592301040449438 -0.432409407539326 -0.207095971672 0.0354678201573034 -0.419621473955056 -0.445412804202247 -0.28620515505618 -0.414621153179775 -0.274171341966292 -0.11028850707236 -0.382816980159551 -0.270829337453146
7 2 "WALKING_UPSTAIRS" -0.577518324748052 -0.546403365345779 -0.456473642256981 -0.956538178587662 -0.955312554090909 -0.923304724090909 -0.615131377408279 -0.622997416262013 -0.664336860544416 -0.687155474097403 -0.652408657909091 -0.663340760331169 -0.701731200484416 -0.674920114957468 -0.750808705594156 -0.510669879158539 -0.510669879158539 -0.550560230585714 -0.598670795839286 -0.658017844948377 -0.572347541484091 -0.567046977262987 -0.460792123277305 -0.626785744584416 -0.62853163071948 -0.684856438953896 -0.703883646896104 -0.671161922837662 -0.698949518905844 -0.583819796092208 -0.550683254908442 -0.650923648207792 -0.668963362464935
8 2 "WALKING_UPSTAIRS" -0.582958863017438 -0.349383732046263 -0.499472687913167 -0.954256666035587 -0.94844645047331 -0.923180663601423 -0.575993073911744 -0.458724925167972 -0.66835678475516 -0.656219242281851 -0.570941237019217 -0.511392038012811 -0.674984452240214 -0.683086930288968 -0.695970301754448 -0.554038979266192 -0.554038979266192 -0.564471999961566 -0.581422885341281 -0.715838385516014 -0.585343460535587 -0.378656458967972 -0.513206312959075 -0.598546245236655 -0.45636839585694 -0.691480916950178 -0.675275353078292 -0.573087292172598 -0.553968587869751 -0.651638076286121 -0.618027414911032 -0.636673891144128 -0.755717299964413
9 2 "WALKING_UPSTAIRS" -0.555656544538194 -0.5758878952125 -0.506111776081806 -0.958784666180556 -0.949938115208333 -0.920554317815972 -0.578305161360069 -0.678923872274306 -0.721610094569444 -0.676452392569444 -0.670498220701389 -0.587557692291458 -0.7617108665625 -0.773273878854167 -0.744656038298611 -0.553038255314792 -0.553038255314792 -0.608862145384722 -0.663198385034722 -0.786176892048611 -0.547995744907986 -0.586766083232639 -0.501074006965903 -0.572819893733993 -0.679065855003472 -0.739139922708333 -0.690689895534722 -0.667203220760417 -0.619468634127778 -0.624456827182986 -0.611619343190972 -0.697729432621528 -0.801296292638889
10 2 "WALKING_UPSTAIRS" -0.976914667166667 -0.929141091633333 -0.972264913 -0.9719009915 -0.961517524833333 -0.973718302333333 -0.977836345 -0.962510329833333 -0.9852148295 -0.970429545833333 -0.976850974833333 -0.957569497 -0.978483352166667 -0.983924353 -0.982318139166667 -0.942239747 -0.942239747 -0.970288294833333 -0.946460267166667 -0.979257408333333 -0.978249844833333 -0.928300078783333 -0.971528370666667 -0.979612429166667 -0.964387826 -0.9864711005 -0.971946495 -0.977034021833333 -0.961499603833333 -0.946976321166667 -0.969339341333333 -0.94776606 -0.978997537333333
11 2 "WALKING_UPSTAIRS" -0.58947649779557 -0.490379346996835 -0.665324314227848 -0.975394457689873 -0.957138770727848 -0.956812000411392 -0.659323083055063 -0.608784226719937 -0.842511816044304 -0.739922126628797 -0.703501766487342 -0.725016008797468 -0.781738140601266 -0.868377254082279 -0.795490882468354 -0.612882270912658 -0.612882270912658 -0.664241760370253 -0.696771378957911 -0.866905012626582 -0.579491754749367 -0.502570240243354 -0.652095671108544 -0.672195644346519 -0.609444998247785 -0.858259630601266 -0.751758277167721 -0.670892713066772 -0.75596062835443 -0.674470159009494 -0.676925075857595 -0.711267219682278 -0.879254016740506
14 2 "WALKING_UPSTAIRS" -0.975494321518987 -0.944189643417721 -0.943891439113924 -0.963666510379747 -0.965538336582279 -0.952893375063291 -0.985306933037975 -0.978904104303797 -0.980713290253165 -0.973762051772152 -0.962039041139241 -0.967101618101266 -0.981309872025316 -0.982321302658228 -0.986841167088608 -0.944706586962025 -0.944706586962025 -0.981714665063291 -0.94746971556962 -0.980252790253165 -0.974837439746835 -0.941020529113924 -0.939615462658228 -0.986653889746835 -0.980582625189873 -0.982966496835443 -0.975138491898734 -0.96026162278481 -0.969622702911392 -0.946119101012658 -0.981486919873418 -0.949080940126582 -0.980403827721519
